label	text
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 70% 초과. 주요 투자 종목: 소비재. 
안정형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이하. 주요 수입원은 무엇인가요?: 연금 (일정한 수입). 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금 무조건 보전. 연령대를 선택해주세요.: 61세 이상. 원하는 투자 기간을 선택해주세요.: 6개월 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 투자 경험 없음. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 10% 이하. 주요 투자 종목: IT. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 20% 이상 ~ 30% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 10% 미만 손실 감수 가능. 연령대를 선택해주세요.: 51세 ~ 60세. 원하는 투자 기간을 선택해주세요.: 1년 이상 ~ 2년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 대부분 금융 상품 구분 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 10% 이하. 주요 투자 종목: IT. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 20% 이상 ~ 30% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 감소 또는 불확실성 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 10% 미만 손실 감수 가능. 연령대를 선택해주세요.: 41세 ~ 50세. 원하는 투자 기간을 선택해주세요.: 6개월 이상 ~ 1년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 대부분 금융 상품 구분 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 10% 이하. 주요 투자 종목: 소비재. 
위험중립형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 30% 이상 ~ 40% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 대부분 금융 상품 구분 가능. 총 자산 규모: 1천만원 이하. 주식 투자 비중: 70% 초과. 주요 투자 종목: 금융. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: ELS. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5억원 초과. 주식 투자 비중: 70% 초과. 주요 투자 종목: IT. 
위험중립형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 30% 이상 ~ 40% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 20% 미만 손실 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 70% 초과. 주요 투자 종목: 제약/바이오. 
안정형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이하. 주요 수입원은 무엇인가요?: 연금 (일정한 수입). 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금 무조건 보전. 연령대를 선택해주세요.: 61세 이상. 원하는 투자 기간을 선택해주세요.: 6개월 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 투자 경험 없음. 총 자산 규모: 1천만원 이하. 주식 투자 비중: 70% 초과. 주요 투자 종목: 금융. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금의 50% 이상 손실 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5천만원 ~ 1억원. 주식 투자 비중: 10% ~ 30%. 주요 투자 종목: 소비재. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금의 50% 이상 손실 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5억원 초과. 주식 투자 비중: 10% ~ 30%. 주요 투자 종목: 기타. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금의 50% 이상 손실 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: ELS. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5억원 초과. 주식 투자 비중: 10% 이하. 주요 투자 종목: 제약/바이오. 
위험중립형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 20% 이상 ~ 30% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 41세 ~ 50세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5천만원 ~ 1억원. 주식 투자 비중: 10% ~ 30%. 주요 투자 종목: IT. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 50% ~ 70%. 주요 투자 종목: IT. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: ELS. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5천만원 ~ 1억원. 주식 투자 비중: 50% ~ 70%. 주요 투자 종목: IT. 
공격투자형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 41세 ~ 50세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: ELS. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 10% 이하. 주요 투자 종목: 제약/바이오. 
공격투자형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 30% 이상 ~ 40% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: ELS. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1억원 ~ 5억원. 주식 투자 비중: 10% 이하. 주요 투자 종목: 금융. 
공격투자형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 41세 ~ 50세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: ELS. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 이하. 주식 투자 비중: 10% 이하. 주요 투자 종목: IT. 
위험중립형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 20% 이상 ~ 30% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 1년 이상 ~ 2년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 국공채, 회사채. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1억원 ~ 5억원. 주식 투자 비중: 30% ~ 50%. 주요 투자 종목: 금융. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금의 50% 이상 손실 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 10% 이하. 주요 투자 종목: 금융. 
공격투자형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 41세 ~ 50세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 5억원 초과. 주식 투자 비중: 10% ~ 30%. 주요 투자 종목: 제약/바이오. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 20% 이상 ~ 30% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 감소 또는 불확실성 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 20% 미만 손실 감수 가능. 연령대를 선택해주세요.: 41세 ~ 50세. 원하는 투자 기간을 선택해주세요.: 6개월 이상 ~ 1년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 대부분 금융 상품 구분 가능. 총 자산 규모: 1억원 ~ 5억원. 주식 투자 비중: 10% 이하. 주요 투자 종목: 제약/바이오. 
공격형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 불규칙한 수입 또는 기타. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금의 50% 이상 손실 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 3년 이상. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1억원 ~ 5억원. 주식 투자 비중: 10% 이하. 주요 투자 종목: 기타. 
안정형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이하. 주요 수입원은 무엇인가요?: 연금 (일정한 수입). 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금 무조건 보전. 연령대를 선택해주세요.: 61세 이상. 원하는 투자 기간을 선택해주세요.: 6개월 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 투자 경험 없음. 총 자산 규모: 1천만원 이하. 주식 투자 비중: 50% ~ 70%. 주요 투자 종목: 기타. 
안정형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이하. 주요 수입원은 무엇인가요?: 연금 (일정한 수입). 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금 무조건 보전. 연령대를 선택해주세요.: 61세 이상. 원하는 투자 기간을 선택해주세요.: 6개월 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 투자 경험 없음. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 50% ~ 70%. 주요 투자 종목: 소비재. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이상 ~ 20% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 감소 또는 불확실성 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 10% 미만 손실 감수 가능. 연령대를 선택해주세요.: 51세 ~ 60세. 원하는 투자 기간을 선택해주세요.: 6개월 이상 ~ 1년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 국공채, 회사채. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 대부분 금융 상품 구분 가능. 총 자산 규모: 5억원 초과. 주식 투자 비중: 70% 초과. 주요 투자 종목: 제약/바이오. 
안정형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이하. 주요 수입원은 무엇인가요?: 연금 (일정한 수입). 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 투자 원금 무조건 보전. 연령대를 선택해주세요.: 61세 이상. 원하는 투자 기간을 선택해주세요.: 6개월 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 투자 경험 없음. 총 자산 규모: 1천만원 이하. 주식 투자 비중: 30% ~ 50%. 주요 투자 종목: IT. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이상 ~ 20% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 10% 미만 손실 감수 가능. 연령대를 선택해주세요.: 51세 ~ 60세. 원하는 투자 기간을 선택해주세요.: 6개월 이상 ~ 1년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 주식과 채권 구분 가능. 총 자산 규모: 5천만원 ~ 1억원. 주식 투자 비중: 10% ~ 30%. 주요 투자 종목: 소비재. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 10% 이상 ~ 20% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 감소 또는 불확실성 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 10% 미만 손실 감수 가능. 연령대를 선택해주세요.: 51세 ~ 60세. 원하는 투자 기간을 선택해주세요.: 6개월 이상 ~ 1년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 예금, 적금. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 대부분 금융 상품 구분 가능. 총 자산 규모: 1천만원 ~ 5천만원. 주식 투자 비중: 50% ~ 70%. 주요 투자 종목: 소비재. 
공격투자형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 40% 초과. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 기대수익이 높다면 위험 감수 가능. 연령대를 선택해주세요.: 20세 ~ 40세. 원하는 투자 기간을 선택해주세요.: 2년 이상 ~ 3년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 주식, 펀드. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 모든 투자 상품 차이 이해 가능. 총 자산 규모: 1천만원 이하. 주식 투자 비중: 70% 초과. 주요 투자 종목: 제약/바이오. 
안정추구형	현재 투자 자금은 전체 금융 자산에서 어느 정도 비중을 차지하나요?: 20% 이상 ~ 30% 이하. 주요 수입원은 무엇인가요?: 일정한 수입, 향후 유지 또는 증가 예상. 투자 원금 손실 시 감수할 수 있는 손실 수준은 어느 정도인가요?: 10% 미만 손실 감수 가능. 연령대를 선택해주세요.: 51세 ~ 60세. 원하는 투자 기간을 선택해주세요.: 6개월 이상 ~ 1년 이내. 다음 중 경험해본 투자 유형을 모두 선택해주세요.: 국공채, 회사채. 금융 상품에 대한 자신의 지식 수준은 어느 정도인가요?: 주식과 채권 구분 가능. 총 자산 규모: 1억원 ~ 5억원. 주식 투자 비중: 50% ~ 70%. 주요 투자 종목: IT. 
