종목코드,종목명,ISIN코드,기업명
A002600,조흥,KR7002600005,(주)조흥
A002620,제일파마홀딩스,KR7002620003,제일파마홀딩스(주)
A002630,오리엔트바이오,KR7002630002,(주)오리엔트바이오
A002680,한탑,KR7002680007,(주)한탑
A002690,동일제강,KR7002690006,동일제강(주)
A002700,신일전자,KR7002700003,신일전자(주)
A002710,TCC스틸,KR7002710002,(주)TCC스틸
A002720,국제약품,KR7002720001,국제약품(주)
A002760,보락,KR7002760007,(주)보락
A002780,진흥기업,KR7002780005,진흥기업(주)
A002790,아모레G,KR7002790004,(주)아모레퍼시픽그룹
A002800,신신제약,KR7002800001,신신제약(주)
A002810,삼영무역,KR7002810000,삼영무역(주)
A002820,SUN&L,KR7002820009,(주)선앤엘
A002840,미원상사,KR7002840007,미원상사(주)
A002870,신풍,KR7002870004,(주)신풍
A002880,대유에이텍,KR7002880003,(주)대유에이텍
A002900,TYM,KR7002900009,주식회사 티와이엠
A002920,유성기업,KR7002920007,유성기업(주)
A002960,한국쉘석유,KR7002960003,한국쉘석유(주)
A002990,금호건설,KR7002990000,금호건설(주)
A003000,부광약품,KR7003000007,부광약품(주)
A003010,혜인,KR7003010006,(주)혜인
A003030,세아제강지주,KR7003030004,(주)세아제강지주
A003060,에이프로젠바이오로직스,KR7003060001,(주)에이프로젠바이오로직스
A003070,코오롱글로벌,KR7003070000,코오롱글로벌(주)
A003080,성보화학,KR7003080009,성보화학(주)
A003090,대웅,KR7003090008,(주)대웅
A003100,선광,KR7003100005,(주)선광
A003120,일성아이에스,KR7003120003,일성아이에스(주)
A003160,디아이,KR7003160009,(주)디아이
A003200,일신방직,KR7003200003,일신방직(주)
A003220,대원제약,KR7003220001,대원제약(주)
A003230,삼양식품,KR7003230000,삼양식품(주)
A003240,태광산업,KR7003240009,태광산업(주)
A003280,흥아해운,KR7003280005,흥아해운(주)
A003300,한일홀딩스,KR7003300001,한일홀딩스(주)
A003310,대주산업,KR7003310000,대주산업(주)
A003350,한국화장품제조,KR7003350006,(주)한국화장품제조
A003380,하림지주,KR7003380003,(주)하림지주
A003460,유화증권,KR7003460003,유화증권(주)
A003470,유안타증권,KR7003470002,유안타증권(주)
A003480,한진중공업홀딩스,KR7003480001,(주)한진중공업홀딩스
A003490,대한항공,KR7003490000,(주)대한항공
A003520,영진약품,KR7003520004,영진약품(주)
A003530,한화투자증권,KR7003530003,한화투자증권(주)
A003540,대신증권,KR7003540002,대신증권(주)
A003550,LG,KR7003550001,(주)LG
A003560,IHQ,KR7003560000,(주)아이에이치큐
A003570,SNT다이내믹스,KR7003570009,SNT다이내믹스(주)
A003580,HLB글로벌,KR7003580008,에이치엘비글로벌(주)
A003610,방림,KR7003610003,(주)방림
A003620,KG모빌리티,KR7003620002,케이지모빌리티(주)
A003650,미창석유,KR7003650009,미창석유공업(주)
A003670,포스코퓨처엠,KR7003670007,(주)포스코퓨처엠
A003680,한성기업,KR7003680006,한성기업(주)
A003690,코리안리,KR7003690005,코리안리재보험(주)
A003720,삼영,KR7003720000,(주)삼영
A003780,진양산업,KR7003780004,진양산업(주)
A003800,에이스침대,KR7003800000,(주)에이스침대
A003830,대한화섬,KR7003830007,대한화섬(주)
A003850,보령,KR7003850005,(주)보령
A003920,남양유업,KR7003920006,남양유업(주)
A003960,사조대림,KR7003960002,(주)사조대림
A004000,롯데정밀화학,KR7004000006,롯데정밀화학(주)
A004020,현대제철,KR7004020004,현대제철(주)
A004060,SG세계물산,KR7004060000,(주)SG세계물산
A004080,신흥,KR7004080008,(주)신흥
A004090,한국석유,KR7004090007,한국석유공업(주)
A004100,태양금속,KR7004100004,태양금속공업(주)
A004140,동방,KR7004140000,(주)동방
A004150,한솔홀딩스,KR7004150009,한솔홀딩스(주)
A004170,신세계,KR7004170007,(주)신세계
A004250,NPC,KR7004250007,엔피씨(주)
A004270,남성,KR7004270005,(주)남성
A004310,현대약품,KR7004310009,현대약품(주)
A004360,세방,KR7004360004,세방(주)
A004370,농심,KR7004370003,(주)농심
A004380,삼익THK,KR7004380002,삼익THK(주)
A004410,서울식품,KR7004410007,서울식품공업(주)
A004430,송원산업,KR7004430005,송원산업(주)
A004440,삼일씨엔에스,KR7004440004,(주)삼일씨엔에스
A004450,삼화왕관,KR7004450003,삼화왕관(주)
